academia cursor	akatemian vahtimestari	academy janitor
kassör, kassörska	kassanhoitaja (nainen, mies)	cashier (male, female)
kavallerist	ratsumies	cavalry soldier
keisaaja	kuulustelija, inkvisiittori	inquisitor
kejsare, kejsarinna	keisari, keisarinna	emperor, empress
kemist	apteekkari, kemian oppinut	chemist
keramiker	savenvalaja	potter
kirurg	haavalääkäri	surgeon
klensmed	lukkoseppä	locksmith
klerk	pappi	priest
klippare	keritsijä	shearer
klockare	lukkari, aluksi kellonsoittaja, kanttori, kirkkovahti ja pappilan isäntärenki. 1686 lain jälkeen vastasi lukemisen ja kirjoittamisen opetuksesta. Lukkari oli vapautettu sotaväestä josta pilkkalause: "valmis kuin lukkari sotaan") ks. suntio	precentor, cantor, formerly bell ringer, verger and church bailiff. After 1686 Church Law, parish clerk,responsible also for teaching parish people reading and writing. 'Klockare' or 'Lukkari' was relieved from military service see suntio
klockgjutare	kellonvalaja	bell-founder
klockringare	kellonsoittaja	bell ringer, church bell ringer
klädsfabrikant	vaatetehtailija	cloth factory owner
knape	knaapi, asemies, soini, ritarin asepalvelija keskiajalla, myöhemmin rälssimies ilman varsinaista aateliskirjaa, pyrki sotapalvelusta suorittamalla osalliseksi aatelin etuoikeuksia	male servant, Knight's weapon carrier / servant in Medieval times, later any lower nobility recruiting in the armed forces to gain nobile rights
knappmakare	napintekijä	buttonmaker
knekt (knecht)	nihti, jalkaväen sotamies etenkin 1600-luvulla. Aiemmin "palvelija"	infantry soldier especially in 17th century, before that, male servant
kock	kokki	cook
kofferdikapten	kauppa-aluksen kapteeni (merillä kulkeva alus) ks. coopverdie	captain of a merchant ship (sailing overseas) see coopverdie
kofferdisjöman	kauppa-aluksen merimies	sailor of a merchant ship
kofferdiskeppare	kauppa-aluksen kippari, päällikkö, laivuri (rantavesillä kulkeva alus)	skipper of a merchant ship (sailing on coastal waters)
kokerska	keittäjätär	female cook
kolare	miilumies, miilunpolttaja, sydenpolttaja, nuohooja; Varsinais-Suomessa miilunpolton esimies	charcoal pit worker; charcoal pit foreman in SW Finland
kolonist	uudisasukas	settler, colonist
kolportör	kirjanpäällystäjä, etenkin Raamatun, kannensitoja, maallikkosaarnaaja	colporteur, book esp. Bible canvasser, layman preacher
komediant	ilvehtijä	jester, clown
komiker	koomikko, näyttelijä	comedian
kommendant	komentaja, päällikkö	commandant
kommendör	komentaja, ylipäällikkö	commander
kommerseråd	kauppaneuvos	division head at Board of Commerce, commercial counsellor
komminister	apulaiskirkkoherra	assistant vicar
kommissar	julkisen tehtävän toimekseen saanut	senior officer
kommissarie	komissaari, (poliisi-) tarkastaja	commissary, (police-) inspector
kommissions lantmätare	valtuutettu aluemaanmittari	authorised district surveyor
kommissionär	asiamies, välittäjä	agent
kommitterad	komitean jäsen	committee member
kommunalläkare	kunnanlääkäri	district doctor, medical officer
kompanichef	komppanian päällikkö	company commander
kompanjon	yhtiökumppani	partner
kompositör	säveltäjä	composer
konditor	kondiittori	confectioner
konduktör	ratavahti, junatarkastaja, esimies, linnoitusjoukoissa ja tykistössä "förare" vastaava arvo	railway guard, conductor, supervisor, foreman, in military: engineer and artillery rank equivalent of "förare"
konopaatsikka	hirsien tilkitsijä (ven. konopatshik)	caulker
konrektor	konrehtori, katedraalikoulun kolmas opettaja, apulaisrehtori	teacher of cathedral school, assistant headmaster
konstapel	konstaapeli, aliupseeri tykistössä	non-commissioned officer
konstberidare	taitoratsastaja	trick rider
konstdomare	taidekriitikko	art critic
konstnär	taiteilija	artist
konstruktör	suunnittelija	designer
konsul	konsuli	consul
konsulent	ohjaaja, neuvonantaja	adviser, counselor
konsult	konsultti	consult, adviser
kontorist	konttoristi	office employee
kontorschef	konttoripäällikkö	office manager
kontraktsprost	rovasti	dean
kopist	kopisti	copy, copywriter
kopparslagare	vaskiseppä	copper-smith
kopplare	parittaja	pander
korist	kuorolaulaja	choralist
kornett	kornetti, ratsuväen vänrikki	cornet, cavalry ensign
korporal	korpraali	corporal
korpräst	kuoripappi	choralist
korrespondent	kirjeenvaihtaja	correspondent
korsfarare	ristiretkeläinen	crusader
koryfé	johtaja, päämies	manager, principal
kosacken	kasakka	cossack
kreditor	velkoja	creditor
krigsfånge	sotavanki	prisoner of war
krigsman	soturi	warrior
krigskommissarie	sotakomisaari	war commissioner
krigsråd	sotaneuvos (1700-luvulla)	war councillor
kriminalinspektör	rikostarkastaja	detective inspector
kringstrykande	kulkuri	vagabond
kronofogde	kruununvouti	sheriff, enforcement officer, bailiff
kronokommissarie	kruununkomissaari	senior bailiff, senior enforcement officer
kronolänsman	kruununnimismies	sheriff, police constable
krukmakare	savenvalaja, ruukun tekijä	potter
